id,name,city,latitude,longitude,description,created_at,checkin_radius,amap_poi_id
beijing_022,"北京站","北京",39.905,116.427222,"北京站是北京著名的车站，位于北京市东城区建国门内大街",2026-04-02T10:00:00.000Z,150,B000A7J5JP
beijing_023,"北京西站","北京",39.894444,116.322222,"北京西站是北京著名的车站，位于北京市丰台区莲花池东路",2026-04-02T10:00:00.000Z,150,B000A7J5JQ
beijing_024,"北京南站","北京",39.864722,116.378056,"北京南站是北京著名的车站，位于北京市丰台区永外大街车站路",2026-04-02T10:00:00.000Z,150,B000A7J5JR
beijing_025,"王府井步行街","北京",39.913889,116.410278,"王府井步行街是北京著名的商业街，位于北京市东城区王府井大街",2026-04-02T10:00:00.000Z,150,B000A7J5JS
beijing_026,"前门大街","北京",39.8975,116.397222,"前门大街是北京著名的商业街，位于北京市东城区前门大街",2026-04-02T10:00:00.000Z,150,B000A7J5JT
beijing_027,"西单商业街","北京",39.9075,116.375833,"西单商业街是北京著名的商业街，位于北京市西城区西单北大街",2026-04-02T10:00:00.000Z,150,B000A7J5JU
beijing_028,"东单商业街","北京",39.908056,116.416111,"东单商业街是北京著名的商业街，位于北京市东城区东单北大街",2026-04-02T10:00:00.000Z,150,B000A7J5JV
beijing_029,"西什库教堂","北京",39.928056,116.377778,"西什库教堂是北京著名的教堂，位于北京市西城区西什库大街33号",2026-04-02T10:00:00.000Z,100,B000A7J5JW
beijing_030,"王府井教堂","北京",39.913889,116.410278,"王府井教堂是北京著名的教堂，位于北京市东城区王府井大街",2026-04-02T10:00:00.000Z,100,B000A7J5JX
beijing_031,"宣武门教堂","北京",39.898611,116.376389,"宣武门教堂是北京著名的教堂，位于北京市西城区宣武门内大街",2026-04-02T10:00:00.000Z,100,B000A7J5JY
beijing_032,"缸瓦市教堂","北京",39.903889,116.376944,"缸瓦市教堂是北京著名的教堂，位于北京市西城区缸瓦市大街",2026-04-02T10:00:00.000Z,100,B000A7J5JZ
beijing_033,"中国人民抗日战争纪念馆","北京",39.838333,116.209444,"中国人民抗日战争纪念馆是北京著名的纪念馆，位于北京市丰台区卢沟桥宛平城内街101号",2026-04-02T10:00:00.000Z,100,B000A7J5K0
beijing_034,"景山观景台","北京",39.925556,116.396389,"景山观景台是北京著名的观景台，位于北京市西城区景山西街44号景山公园内",2026-04-02T10:00:00.000Z,100,B000A7J5K1
beijing_035,"白塔观景台","北京",39.925,116.388889,"白塔观景台是北京著名的观景台，位于北京市西城区文津街1号北海公园内",2026-04-02T10:00:00.000Z,100,B000A7J5K2
beijing_036,"中央电视塔观景台","北京",39.931667,116.298333,"中央电视塔观景台是北京著名的观景台，位于北京市海淀区西三环中路11号",2026-04-02T10:00:00.000Z,100,B000A7J5K3
beijing_037,"雍和宫","北京",39.948611,116.418056,"雍和宫是北京著名的寺庙，位于北京市东城区雍和宫大街12号",2026-04-02T10:00:00.000Z,100,B000A7J5K4
beijing_038,"白云观","北京",39.892778,116.348611,"白云观是北京著名的道观，位于北京市西城区复兴门外白云观街",2026-04-02T10:00:00.000Z,100,B000A7J5K5
beijing_039,"法源寺","北京",39.886389,116.376667,"法源寺是北京著名的寺庙，位于北京市西城区法源寺前街7号",2026-04-02T10:00:00.000Z,100,B000A7J5K6
beijing_040,"钟楼","北京",39.945833,116.396667,"钟楼是北京著名的历史建筑，位于北京市东城区钟楼湾胡同",2026-04-02T10:00:00.000Z,100,B000A7J5K7
beijing_041,"鼓楼","北京",39.946111,116.398056,"鼓楼是北京著名的历史建筑，位于北京市东城区鼓楼东大街",2026-04-02T10:00:00.000Z,100,B000A7J5K8
beijing_042,"德胜门箭楼","北京",39.948889,116.384444,"德胜门箭楼是北京著名的历史建筑，位于北京市西城区德胜门东大街",2026-04-02T10:00:00.000Z,100,B000A7J5K9
beijing_043,"永定门城楼","北京",39.872222,116.398889,"永定门城楼是北京著名的历史建筑，位于北京市东城区永定门内大街",2026-04-02T10:00:00.000Z,100,B000A7J5KA
beijing_044,"前门城楼","北京",39.8975,116.397222,"前门城楼是北京著名的历史建筑，位于北京市东城区前门大街北端",2026-04-02T10:00:00.000Z,100,B000A7J5KB
beijing_045,"北京古观象台","北京",39.904444,116.423611,"北京古观象台是北京著名的观景台，位于北京市东城区建国门内大街",2026-04-02T10:00:00.000Z,100,B000A7J5KC
beijing_046,"景山万春亭","北京",39.925556,116.396389,"景山万春亭是北京著名的观景台，位于北京市西城区景山西街44号景山公园最高处",2026-04-02T10:00:00.000Z,100,B000A7J5KD
beijing_047,"北海白塔","北京",39.925,116.388889,"北海白塔是北京著名的历史建筑，位于北京市西城区文津街1号北海公园琼华岛",2026-04-02T10:00:00.000Z,100,B000A7J5KE
beijing_048,"天坛祈年殿","北京",39.882222,116.406667,"天坛祈年殿是北京著名的历史建筑，位于北京市东城区天坛路甲1号天坛公园内",2026-04-02T10:00:00.000Z,100,B000A7J5KF
beijing_049,"颐和园佛香阁","北京",39.999912,116.275555,"颐和园佛香阁是北京著名的历史建筑，位于北京市海淀区新建宫门路19号颐和园万寿山",2026-04-02T10:00:00.000Z,100,B000A7J5KG
beijing_050,"圆明园大水法遗址","北京",40.003611,116.296944,"圆明园大水法遗址是北京著名的历史建筑，位于北京市海淀区清华西路28号圆明园遗址公园内",2026-04-02T10:00:00.000Z,100,B000A7J5KH
